Date,RPI,RPIX,RPI - Motoring Expenditure - Petrol (& oil),RPI - Fuel (& light),RPI - Housing Costs,CPI,CPIH,Spontaneous Brand Awareness,Brand Consideration,Fibre awareness (prompted),Fibre Consideration,TV awareness (prompted),TV consideration
2017-04-01,0.035,0.038,0.117,0.033,0.02,0.027,0.0258,39.0,23.0,45.0,20.0,38.0,14.0
2017-05-01,0.037,0.039,0.072,0.05,0.022,0.029,0.0268,42.0,24.0,40.0,21.0,39.0,13.0
2017-06-01,0.035,0.038,0.045,0.046,0.02,0.026,0.026,45.0,24.0,34.0,17.0,35.0,13.0
2017-07-01,0.036,0.039,0.017,0.055,0.019,0.026,0.0258,37.0,24.0,35.0,16.0,36.0,10.0
2017-08-01,0.039,0.041,0.057,0.057,0.023,0.029,0.0277,42.0,24.0,38.0,20.0,42.0,7.0
2017-09-01,0.039,0.041,0.06,0.056,0.019,0.03,0.0276,39.0,24.0,41.0,19.0,43.0,7.0
2017-10-01,0.04,0.042,0.047,0.062,0.024,0.03,0.0276,37.0,25.0,38.0,16.0,41.0,6.0
2017-11-01,0.039,0.04,0.025,0.068,0.024,0.031,0.0285,38.0,24.0,38.0,19.0,35.0,11.0
2017-12-01,0.041,0.042,0.051,0.066,0.027,0.03,0.0274,39.0,24.0,38.0,16.0,35.0,15.0
2018-01-01,0.04,0.04,0.022,0.065,0.027,0.03,0.0265,39.0,23.0,42.0,21.0,38.0,11.0
2018-02-01,0.036,0.036,0.013,0.066,0.025,0.027,0.025,46.0,22.0,45.0,17.0,36.0,12.0
2018-03-01,0.033,0.034,-0.003,0.064,0.025,0.025,0.0234,44.0,23.0,43.0,16.0,39.0,14.0
2018-04-01,0.034,0.034,0.032,0.06,0.03,0.024,0.0223,45.0,25.0,45.0,22.0,38.0,13.0
2018-05-01,0.033,0.034,0.08,0.04,0.026,0.024,0.0232,37.0,19.0,40.0,21.0,39.0,13.0
2018-06-01,0.034,0.034,0.116,0.064,0.026,0.024,0.0232,34.0,19.0,34.0,17.0,35.0,13.0
2018-07-01,0.032,0.033,0.125,0.069,0.026,0.025,0.0232,41.0,20.0,35.0,16.0,36.0,10.0
2018-08-01,0.035,0.034,0.117,0.068,0.029,0.027,0.024,46.0,23.0,38.0,20.0,42.0,7.0
2018-09-01,0.033,0.033,0.108,0.083,0.028,0.024,0.0221,45.0,20.0,41.0,19.0,43.0,7.0
2018-10-01,0.0356,0.0356,0.1186,0.069,0.029,0.0253,0.0241,46.0,17.0,38.0,16.0,41.0,6.0
